Id	Jacket	Title	Artist	Game Version	Category	Dx Version	Difficulty Id	International	Locked	Uni	Uni+	Fes	Fes+	Power	Tech	Intelligence	Stamina	Trills	Spins	Search Tags
0	https://maimaidx-eng.com/maimai-mobile/img/Music/2f53230db95fda85.png	HOT LIMIT	T.M.Revolution [covered by 光吉猛修]	8192	1	2	1	1	0	4.0	4.0	4.0	4.0							hot limit, tmrevolution covered by mitsuyoshimosamu, HOT LIMIT, T.M.Revolution [covered by 光吉猛修]
0	https://maimaidx-eng.com/maimai-mobile/img/Music/2f53230db95fda85.png	HOT LIMIT	T.M.Revolution [covered by 光吉猛修]	8192	1	2	2	1	0	6.0	6.0	6.0	6.0							hot limit, tmrevolution covered by mitsuyoshimosamu, HOT LIMIT, T.M.Revolution [covered by 光吉猛修]
0	https://maimaidx-eng.com/maimai-mobile/img/Music/2f53230db95fda85.png	HOT LIMIT	T.M.Revolution [covered by 光吉猛修]	8192	1	2	4	1	0	9.0	9.0	9.0	9.0							hot limit, tmrevolution covered by mitsuyoshimosamu, HOT LIMIT, T.M.Revolution [covered by 光吉猛修]
0	https://maimaidx-eng.com/maimai-mobile/img/Music/2f53230db95fda85.png	HOT LIMIT	T.M.Revolution [covered by 光吉猛修]	8192	1	2	8	1	0	11.7	11.7	11.7	11.7							hot limit, tmrevolution covered by mitsuyoshimosamu, HOT LIMIT, T.M.Revolution [covered by 光吉猛修]
1	https://maimaidx-eng.com/maimai-mobile/img/Music/a46fc4437ca9cdb8.png	ネ！コ！	パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」	4096	1	1	1	1	0	4.0	4.0	4.0	4.0							neko, patorishiaobuendokurokimichiyshachiashitaharaykinoratojotonoranekohto, ネ！コ！, パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」
1	https://maimaidx-eng.com/maimai-mobile/img/Music/a46fc4437ca9cdb8.png	ネ！コ！	パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」	4096	1	1	2	1	0	7.0	7.0	7.0	7.0							neko, patorishiaobuendokurokimichiyshachiashitaharaykinoratojotonoranekohto, ネ！コ！, パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」
1	https://maimaidx-eng.com/maimai-mobile/img/Music/a46fc4437ca9cdb8.png	ネ！コ！	パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」	4096	1	1	4	1	0	9.0	9.0	9.0	9.0							neko, patorishiaobuendokurokimichiyshachiashitaharaykinoratojotonoranekohto, ネ！コ！, パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」
1	https://maimaidx-eng.com/maimai-mobile/img/Music/a46fc4437ca9cdb8.png	ネ！コ！	パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」	4096	1	1	8	1	0	12.7	13.2	13.0	13.0							neko, patorishiaobuendokurokimichiyshachiashitaharaykinoratojotonoranekohto, ネ！コ！, パトリシア・オブ・エンド・黒木未知・夕莉シャチ・明日原ユウキ「ノラと皇女と野良猫ハート」
2	https://maimaidx-eng.com/maimai-mobile/img/Music/34e32d0a43e43931.png	真・ハンサム体操でズンドコホイ	10Re;「学園ハンサム」	512	1	1	1	1	0	5.0	5.0	5.0	5.0							shinhansamutaisdezundokohoi, 10regakuenhansamu, 真・ハンサム体操でズンドコホイ, 10Re;「学園ハンサム」
2	https://maimaidx-eng.com/maimai-mobile/img/Music/34e32d0a43e43931.png	真・ハンサム体操でズンドコホイ	10Re;「学園ハンサム」	512	1	1	2	1	0	6.0	6.0	6.0	6.0							shinhansamutaisdezundokohoi, 10regakuenhansamu, 真・ハンサム体操でズンドコホイ, 10Re;「学園ハンサム」
2	https://maimaidx-eng.com/maimai-mobile/img/Music/34e32d0a43e43931.png	真・ハンサム体操でズンドコホイ	10Re;「学園ハンサム」	512	1	1	4	1	0	9.0	9.0	9.0	9.0							shinhansamutaisdezundokohoi, 10regakuenhansamu, 真・ハンサム体操でズンドコホイ, 10Re;「学園ハンサム」
2	https://maimaidx-eng.com/maimai-mobile/img/Music/34e32d0a43e43931.png	真・ハンサム体操でズンドコホイ	10Re;「学園ハンサム」	512	1	1	8	1	0	12.8	13.3	13.4	13.4	1	1					shinhansamutaisdezundokohoi, 10regakuenhansamu, 真・ハンサム体操でズンドコホイ, 10Re;「学園ハンサム」
3	https://maimaidx-eng.com/maimai-mobile/img/Music/f1c9303898fd2ad8.png	GET!! 夢&DREAM	加賀美 祥「学園ハンサム」	512	1	1	1	1	0	4.0	4.0	4.0	4.0							get yumedream, kagami sachigakuenhansamu, GET!! 夢&DREAM, 加賀美 祥「学園ハンサム」
3	https://maimaidx-eng.com/maimai-mobile/img/Music/f1c9303898fd2ad8.png	GET!! 夢&DREAM	加賀美 祥「学園ハンサム」	512	1	1	2	1	0	7.0	7.0	7.0	7.0							get yumedream, kagami sachigakuenhansamu, GET!! 夢&DREAM, 加賀美 祥「学園ハンサム」
3	https://maimaidx-eng.com/maimai-mobile/img/Music/f1c9303898fd2ad8.png	GET!! 夢&DREAM	加賀美 祥「学園ハンサム」	512	1	1	4	1	0	8.7	8.7	8.7	8.7							get yumedream, kagami sachigakuenhansamu, GET!! 夢&DREAM, 加賀美 祥「学園ハンサム」
3	https://maimaidx-eng.com/maimai-mobile/img/Music/f1c9303898fd2ad8.png	GET!! 夢&DREAM	加賀美 祥「学園ハンサム」	512	1	1	8	1	0	12.5	12.5	12.5	12.5							get yumedream, kagami sachigakuenhansamu, GET!! 夢&DREAM, 加賀美 祥「学園ハンサム」
4	https://maimaidx-eng.com/maimai-mobile/img/Music/8447601f724531de.png	バラライカ	Performed by 光吉猛修	8	1	1	1	1	0	4.0	4.0	4.0	4.0							bararaika, performed by mitsuyoshimosamu, バラライカ, Performed by 光吉猛修
4	https://maimaidx-eng.com/maimai-mobile/img/Music/8447601f724531de.png	バラライカ	Performed by 光吉猛修	8	1	1	2	1	0	6.0	6.0	6.0	6.0							bararaika, performed by mitsuyoshimosamu, バラライカ, Performed by 光吉猛修
4	https://maimaidx-eng.com/maimai-mobile/img/Music/8447601f724531de.png	バラライカ	Performed by 光吉猛修	8	1	1	4	1	0	8.7	8.7	8.7	8.7							bararaika, performed by mitsuyoshimosamu, バラライカ, Performed by 光吉猛修
4	https://maimaidx-eng.com/maimai-mobile/img/Music/8447601f724531de.png	バラライカ	Performed by 光吉猛修	8	1	1	8	1	0	11.0	11.0	11.0	11.0							bararaika, performed by mitsuyoshimosamu, バラライカ, Performed by 光吉猛修
5	https://maimaidx-eng.com/maimai-mobile/img/Music/1ddd109f16985b8a.png	若い力 -SEGA HARD GIRLS MIX-	SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]	32	1	1	1	1	0	4.0	4.0	4.0	4.0							wakaichikara sega hard girls mix, sc3000shsancvaizawa mai,sg1000sencvserizawa y,sg1000iisentsucvzoranaomi,gmugiamugicvtanakayoshiumi,robopitchapitchancvmomonoharunahiscoool sehagru animepv, 若い力 -SEGA HARD GIRLS MIX-, SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]
5	https://maimaidx-eng.com/maimai-mobile/img/Music/1ddd109f16985b8a.png	若い力 -SEGA HARD GIRLS MIX-	SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]	32	1	1	2	1	0	6.0	6.0	6.0	6.0							wakaichikara sega hard girls mix, sc3000shsancvaizawa mai,sg1000sencvserizawa y,sg1000iisentsucvzoranaomi,gmugiamugicvtanakayoshiumi,robopitchapitchancvmomonoharunahiscoool sehagru animepv, 若い力 -SEGA HARD GIRLS MIX-, SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]
5	https://maimaidx-eng.com/maimai-mobile/img/Music/1ddd109f16985b8a.png	若い力 -SEGA HARD GIRLS MIX-	SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]	32	1	1	4	1	0	9.0	9.0	9.0	9.0							wakaichikara sega hard girls mix, sc3000shsancvaizawa mai,sg1000sencvserizawa y,sg1000iisentsucvzoranaomi,gmugiamugicvtanakayoshiumi,robopitchapitchancvmomonoharunahiscoool sehagru animepv, 若い力 -SEGA HARD GIRLS MIX-, SC-3000(シーさん)/CV.相沢 舞、SG-1000(せん)/CV.芹澤 優、SG-1000Ⅱ(せんつー)/CV.大空直美、ゲームギア(ムギ)/CV.田中美海、ロボピッチャ(ぴっちゃん)/CV.もものはるな「Hi☆sCoool! セハガール」 [アニメPV]
